address,chain,name,category,source,added_date
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,eth,Binance: Binance 1,cex,spellbook-cex-evms,2022-08-28
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,base,Binance: Binance 1,cex,spellbook-cex-evms,2022-08-28
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,bsc,Binance: Binance 1,cex,spellbook-cex-evms,2022-08-28
0xd551234ae421e3bcba99a0da6d736074f22192ff,eth,Binance: Binance 2,cex,spellbook-cex-evms,2022-08-28
0xd551234ae421e3bcba99a0da6d736074f22192ff,base,Binance: Binance 2,cex,spellbook-cex-evms,2022-08-28
0xd551234ae421e3bcba99a0da6d736074f22192ff,bsc,Binance: Binance 2,cex,spellbook-cex-evms,2022-08-28
0x564286362092d8e7936f0549571a803b203aaced,eth,Binance: Binance 3,cex,spellbook-cex-evms,2022-08-28
0x564286362092d8e7936f0549571a803b203aaced,base,Binance: Binance 3,cex,spellbook-cex-evms,2022-08-28
0x564286362092d8e7936f0549571a803b203aaced,bsc,Binance: Binance 3,cex,spellbook-cex-evms,2022-08-28
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,eth,Binance: Binance 4,cex,spellbook-cex-evms,2022-08-28
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,base,Binance: Binance 4,cex,spellbook-cex-evms,2022-08-28
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,bsc,Binance: Binance 4,cex,spellbook-cex-evms,2022-08-28
0xfe9e8709d3215310075d67e3ed32a380ccf451c8,eth,Binance: Binance 5,cex,spellbook-cex-evms,2022-08-28
0xfe9e8709d3215310075d67e3ed32a380ccf451c8,base,Binance: Binance 5,cex,spellbook-cex-evms,2022-08-28
0xfe9e8709d3215310075d67e3ed32a380ccf451c8,bsc,Binance: Binance 5,cex,spellbook-cex-evms,2022-08-28
0x4e9ce36e442e55ecd9025b9a6e0d88485d628a67,eth,Binance: Binance 6,cex,spellbook-cex-evms,2022-08-28
0x4e9ce36e442e55ecd9025b9a6e0d88485d628a67,base,Binance: Binance 6,cex,spellbook-cex-evms,2022-08-28
0x4e9ce36e442e55ecd9025b9a6e0d88485d628a67,bsc,Binance: Binance 6,cex,spellbook-cex-evms,2022-08-28
0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,eth,Binance: Binance 7,cex,spellbook-cex-evms,2022-08-28
0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,base,Binance: Binance 7,cex,spellbook-cex-evms,2022-08-28
0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,bsc,Binance: Binance 7,cex,spellbook-cex-evms,2022-08-28
0xf977814e90da44bfa03b6295a0616a897441acec,eth,Binance: Binance 8,cex,spellbook-cex-evms,2022-08-28
0xf977814e90da44bfa03b6295a0616a897441acec,base,Binance: Binance 8,cex,spellbook-cex-evms,2022-08-28
0xf977814e90da44bfa03b6295a0616a897441acec,bsc,Binance: Binance 8,cex,spellbook-cex-evms,2022-08-28
0x001866ae5b3de6caa5a51543fd9fb64f524f5478,eth,Binance: Binance 9,cex,spellbook-cex-evms,2022-08-28
0x001866ae5b3de6caa5a51543fd9fb64f524f5478,base,Binance: Binance 9,cex,spellbook-cex-evms,2022-08-28
0x001866ae5b3de6caa5a51543fd9fb64f524f5478,bsc,Binance: Binance 9,cex,spellbook-cex-evms,2022-08-28
0x85b931a32a0725be14285b66f1a22178c672d69b,eth,Binance: Binance 10,cex,spellbook-cex-evms,2022-08-28
0x85b931a32a0725be14285b66f1a22178c672d69b,base,Binance: Binance 10,cex,spellbook-cex-evms,2022-08-28
0x85b931a32a0725be14285b66f1a22178c672d69b,bsc,Binance: Binance 10,cex,spellbook-cex-evms,2022-08-28
0x708396f17127c42383e3b9014072679b2f60b82f,eth,Binance: Binance 11,cex,spellbook-cex-evms,2022-08-28
0x708396f17127c42383e3b9014072679b2f60b82f,base,Binance: Binance 11,cex,spellbook-cex-evms,2022-08-28
0x708396f17127c42383e3b9014072679b2f60b82f,bsc,Binance: Binance 11,cex,spellbook-cex-evms,2022-08-28
0xe0f0cfde7ee664943906f17f7f14342e76a5cec7,eth,Binance: Binance 12,cex,spellbook-cex-evms,2022-08-28
0xe0f0cfde7ee664943906f17f7f14342e76a5cec7,base,Binance: Binance 12,cex,spellbook-cex-evms,2022-08-28
0xe0f0cfde7ee664943906f17f7f14342e76a5cec7,bsc,Binance: Binance 12,cex,spellbook-cex-evms,2022-08-28
0x8f22f2063d253846b53609231ed80fa571bc0c8f,eth,Binance: Binance 13,cex,spellbook-cex-evms,2022-08-28
0x8f22f2063d253846b53609231ed80fa571bc0c8f,base,Binance: Binance 13,cex,spellbook-cex-evms,2022-08-28
0x8f22f2063d253846b53609231ed80fa571bc0c8f,bsc,Binance: Binance 13,cex,spellbook-cex-evms,2022-08-28
0x28c6c06298d514db089934071355e5743bf21d60,eth,Binance: Binance 14,cex,spellbook-cex-evms,2022-08-28
0x28c6c06298d514db089934071355e5743bf21d60,base,Binance: Binance 14,cex,spellbook-cex-evms,2022-08-28
0x28c6c06298d514db089934071355e5743bf21d60,bsc,Binance: Binance 14,cex,spellbook-cex-evms,2022-08-28
0x21a31ee1afc51d94c2efccaa2092ad1028285549,eth,Binance: Binance 15,cex,spellbook-cex-evms,2022-08-28
0x21a31ee1afc51d94c2efccaa2092ad1028285549,base,Binance: Binance 15,cex,spellbook-cex-evms,2022-08-28
0x21a31ee1afc51d94c2efccaa2092ad1028285549,bsc,Binance: Binance 15,cex,spellbook-cex-evms,2022-08-28
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,eth,Binance: Binance 16,cex,spellbook-cex-evms,2022-08-28
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,base,Binance: Binance 16,cex,spellbook-cex-evms,2022-08-28
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,bsc,Binance: Binance 16,cex,spellbook-cex-evms,2022-08-28
0x56eddb7aa87536c09ccc2793473599fd21a8b17f,eth,Binance: Binance 17,cex,spellbook-cex-evms,2022-08-28
0x56eddb7aa87536c09ccc2793473599fd21a8b17f,base,Binance: Binance 17,cex,spellbook-cex-evms,2022-08-28
0x56eddb7aa87536c09ccc2793473599fd21a8b17f,bsc,Binance: Binance 17,cex,spellbook-cex-evms,2022-08-28
0x9696f59e4d72e237be84ffd425dcad154bf96976,eth,Binance: Binance 18,cex,spellbook-cex-evms,2022-08-28
0x9696f59e4d72e237be84ffd425dcad154bf96976,base,Binance: Binance 18,cex,spellbook-cex-evms,2022-08-28
0x9696f59e4d72e237be84ffd425dcad154bf96976,bsc,Binance: Binance 18,cex,spellbook-cex-evms,2022-08-28
0x4d9ff50ef4da947364bb9650892b2554e7be5e2b,eth,Binance: Binance 19,cex,spellbook-cex-evms,2022-08-28
0x4d9ff50ef4da947364bb9650892b2554e7be5e2b,base,Binance: Binance 19,cex,spellbook-cex-evms,2022-08-28
0x4d9ff50ef4da947364bb9650892b2554e7be5e2b,bsc,Binance: Binance 19,cex,spellbook-cex-evms,2022-08-28
0x4976a4a02f38326660d17bf34b431dc6e2eb2327,eth,Binance: Binance 20,cex,spellbook-cex-evms,2022-08-28
0x4976a4a02f38326660d17bf34b431dc6e2eb2327,base,Binance: Binance 20,cex,spellbook-cex-evms,2022-08-28
0x4976a4a02f38326660d17bf34b431dc6e2eb2327,bsc,Binance: Binance 20,cex,spellbook-cex-evms,2022-08-28
0xd88b55467f58af508dbfdc597e8ebd2ad2de49b3,eth,Binance: Binance 21,cex,spellbook-cex-evms,2022-08-28
0xd88b55467f58af508dbfdc597e8ebd2ad2de49b3,base,Binance: Binance 21,cex,spellbook-cex-evms,2022-08-28
0xd88b55467f58af508dbfdc597e8ebd2ad2de49b3,bsc,Binance: Binance 21,cex,spellbook-cex-evms,2022-08-28
0x7dfe9a368b6cf0c0309b763bb8d16da326e8f46e,eth,Binance: Binance 22,cex,spellbook-cex-evms,2022-08-28
0x7dfe9a368b6cf0c0309b763bb8d16da326e8f46e,base,Binance: Binance 22,cex,spellbook-cex-evms,2022-08-28
0x7dfe9a368b6cf0c0309b763bb8d16da326e8f46e,bsc,Binance: Binance 22,cex,spellbook-cex-evms,2022-08-28
0x345d8e3a1f62ee6b1d483890976fd66168e390f2,eth,Binance: Binance 23,cex,spellbook-cex-evms,2022-08-28
0x345d8e3a1f62ee6b1d483890976fd66168e390f2,base,Binance: Binance 23,cex,spellbook-cex-evms,2022-08-28
0x345d8e3a1f62ee6b1d483890976fd66168e390f2,bsc,Binance: Binance 23,cex,spellbook-cex-evms,2022-08-28
0xc3c8e0a39769e2308869f7461364ca48155d1d9e,eth,Binance: Binance 24,cex,spellbook-cex-evms,2022-08-28
0xc3c8e0a39769e2308869f7461364ca48155d1d9e,base,Binance: Binance 24,cex,spellbook-cex-evms,2022-08-28
0xc3c8e0a39769e2308869f7461364ca48155d1d9e,bsc,Binance: Binance 24,cex,spellbook-cex-evms,2022-08-28
0x2e581a5ae722207aa59acd3939771e7c7052dd3d,eth,Binance: Binance 25,cex,spellbook-cex-evms,2022-08-28
0x2e581a5ae722207aa59acd3939771e7c7052dd3d,base,Binance: Binance 25,cex,spellbook-cex-evms,2022-08-28
0x2e581a5ae722207aa59acd3939771e7c7052dd3d,bsc,Binance: Binance 25,cex,spellbook-cex-evms,2022-08-28
0x44592b81c05b4c35efb8424eb9d62538b949ebbf,eth,Binance: Binance 26,cex,spellbook-cex-evms,2022-08-28
0x44592b81c05b4c35efb8424eb9d62538b949ebbf,base,Binance: Binance 26,cex,spellbook-cex-evms,2022-08-28
0x44592b81c05b4c35efb8424eb9d62538b949ebbf,bsc,Binance: Binance 26,cex,spellbook-cex-evms,2022-08-28
0xa344c7ada83113b3b56941f6e85bf2eb425949f3,eth,Binance: Binance 27,cex,spellbook-cex-evms,2023-04-06
0xa344c7ada83113b3b56941f6e85bf2eb425949f3,base,Binance: Binance 27,cex,spellbook-cex-evms,2023-04-06
0xa344c7ada83113b3b56941f6e85bf2eb425949f3,bsc,Binance: Binance 27,cex,spellbook-cex-evms,2023-04-06
0x5a52e96bacdabb82fd05763e25335261b270efcb,eth,Binance: Binance 28,cex,spellbook-cex-evms,2023-04-06
0x5a52e96bacdabb82fd05763e25335261b270efcb,base,Binance: Binance 28,cex,spellbook-cex-evms,2023-04-06
0x5a52e96bacdabb82fd05763e25335261b270efcb,bsc,Binance: Binance 28,cex,spellbook-cex-evms,2023-04-06
0x06a0048079ec6571cd1b537418869cde6191d42d,eth,Binance: Binance 29,cex,spellbook-cex-evms,2022-08-28
0x06a0048079ec6571cd1b537418869cde6191d42d,base,Binance: Binance 29,cex,spellbook-cex-evms,2022-08-28
0x06a0048079ec6571cd1b537418869cde6191d42d,bsc,Binance: Binance 29,cex,spellbook-cex-evms,2022-08-28
0x892e9e24aea3f27f4c6e9360e312cce93cc98ebe,eth,Binance: Binance 30,cex,spellbook-cex-evms,2022-08-28
0x892e9e24aea3f27f4c6e9360e312cce93cc98ebe,base,Binance: Binance 30,cex,spellbook-cex-evms,2022-08-28
0x892e9e24aea3f27f4c6e9360e312cce93cc98ebe,bsc,Binance: Binance 30,cex,spellbook-cex-evms,2022-08-28
0x00799bbc833d5b168f0410312d2a8fd9e0e3079c,eth,Binance: Binance 31,cex,spellbook-cex-evms,2022-08-28
0x00799bbc833d5b168f0410312d2a8fd9e0e3079c,base,Binance: Binance 31,cex,spellbook-cex-evms,2022-08-28
0x00799bbc833d5b168f0410312d2a8fd9e0e3079c,bsc,Binance: Binance 31,cex,spellbook-cex-evms,2022-08-28
0x141fef8cd8397a390afe94846c8bd6f4ab981c48,eth,Binance: Binance 32,cex,spellbook-cex-evms,2022-08-28
0x141fef8cd8397a390afe94846c8bd6f4ab981c48,base,Binance: Binance 32,cex,spellbook-cex-evms,2022-08-28
0x141fef8cd8397a390afe94846c8bd6f4ab981c48,bsc,Binance: Binance 32,cex,spellbook-cex-evms,2022-08-28
0x50d669f43b484166680ecc3670e4766cdb0945ce,eth,Binance: Binance 33,cex,spellbook-cex-evms,2022-08-28
0x50d669f43b484166680ecc3670e4766cdb0945ce,base,Binance: Binance 33,cex,spellbook-cex-evms,2022-08-28
0x50d669f43b484166680ecc3670e4766cdb0945ce,bsc,Binance: Binance 33,cex,spellbook-cex-evms,2022-08-28
0x2f7e209e0f5f645c7612d7610193fe268f118b28,eth,Binance: Binance 34,cex,spellbook-cex-evms,2022-08-28
0x2f7e209e0f5f645c7612d7610193fe268f118b28,base,Binance: Binance 34,cex,spellbook-cex-evms,2022-08-28
0x2f7e209e0f5f645c7612d7610193fe268f118b28,bsc,Binance: Binance 34,cex,spellbook-cex-evms,2022-08-28
